"name","avg_roe","min_roe","roe_std","industry","pe","area","out_ratio","pb","profit"
海思科,49.47,11.96,59,化学制药,51.13,西藏,0.42,6.97,6.92
东风股份,36.30,16.29,19,广告包装,12.11,广东,1.00,2.1,0.56
海康威视,35.16,18.64,15,电器仪表,34.99,浙江,0.86,9.67,26.0
福斯特,33.94,11.36,24,塑料,26.38,浙江,1.00,2.37,-10.04
洋河股份,33.15,22.36,12,白酒,17.36,江苏,0.83,5.68,28.06
贵州茅台,30.95,22.93,5,白酒,26.26,贵州,1.00,8.87,40.12
海天味业,30.64,26.10,4,食品,41.15,广东,1.00,15.79,23.3
友邦吊顶,30.33,11.54,17,家居用品,22.6,浙江,0.30,2.1,-18.53
斯莱克,29.64,10.49,17,专用机械,31.83,江苏,0.68,3.68,22.57
格力电器,29.27,22.56,3,家用电器,10.49,广东,0.99,3.3,39.04
威帝股份,28.56,12.20,13,汽车配件,30.01,黑龙江,1.00,3.62,58.49
长久物流,28.44,18.34,8,仓储物流,22.46,北京,0.14,3.28,14.79
艾比森,28.44,10.16,15,半导体,28.28,深圳,0.51,5.21,199.07
信立泰,27.46,13.30,11,化学制药,19.4,深圳,1.00,5.1,8.12
万华化学,27.37,13.91,8,化工原料,9.7,山东,1.00,4.48,42.97
正泰电器,27.00,14.20,10,电气设备,13.75,浙江,0.81,2.43,41.87
双汇发展,26.96,15.34,5,食品,16.12,河南,1.00,5.74,25.28
华东医药,26.83,19.87,6,化学制药,25.36,浙江,0.89,7.3,24.19
苏奥传感,25.99,11.64,10,汽车配件,24.59,江苏,0.47,2.82,-0.88
美的集团,25.93,16.18,6,家用电器,13.11,广东,0.98,3.46,20.76
宇通客车,25.39,14.18,7,汽车整车,27.2,河南,1.00,2.39,-23.42
裕同科技,25.14,18.63,5,广告包装,36.51,深圳,0.30,3.87,-14.49
张裕A,24.84,11.58,11,红黄药酒,19.69,山东,0.66,2.63,-5.11
中天金融,24.80,12.95,7,多元金融,12.26,贵州,0.92,2.04,-25.64
承德露露,24.69,15.94,6,软饮料,16.11,河北,1.00,4.63,11.12
崇达技术,24.67,17.58,5,半导体,26.67,深圳,0.26,6.16,38.15
大华股份,23.72,14.14,7,电器仪表,20.83,浙江,0.63,4.11,10.06
九阳股份,23.61,15.94,14,家用电器,17.14,山东,0.99,3.74,2.44
龙马环卫,23.47,12.15,7,专用机械,18.11,福建,0.90,2.21,6.41
捷成股份,23.42,10.44,16,软件服务,14.33,北京,0.68,1.59,9.46
恒华科技,23.15,11.56,10,软件服务,63.05,北京,0.54,5.77,52.3
伟星新材,23.01,10.81,11,其他建材,28.75,浙江,0.89,7.28,23.61
易事特,22.91,12.87,11,电气设备,15.04,广东,0.99,2.3,14.47
金逸影视,22.87,11.21,10,影视音像,23.32,广东,0.25,2.18,-11.14
金螳螂,22.43,15.62,5,装修装饰,12.54,江苏,0.97,2.05,10.27
双鹭药业,21.98,11.60,6,生物制药,33.89,北京,0.83,5.55,50.44
众信旅游,21.86,10.41,9,旅游服务,27.48,北京,0.60,3.49,45.18
三星医疗,21.76,10.25,14,电器仪表,23.08,浙江,0.99,1.29,-9.37
青岛海尔,21.66,10.20,8,家用电器,11.46,山东,1.00,2.68,14.02
东阿阿胶,21.59,16.41,3,中成药,17.75,山东,1.00,3.02,-4.35
恒瑞医药,21.57,19.10,2,化学制药,63.78,江苏,0.99,14.27,21.38
科华生物,21.47,10.90,6,医疗保健,21.18,上海,0.96,2.74,8.5
中鼎股份,21.45,13.95,5,橡胶,10.15,安徽,0.99,1.72,12.41
奥瑞金,21.24,12.38,7,广告包装,13.56,北京,0.76,2.22,11.33
世联行,21.01,11.46,11,房产服务,21.0,深圳,0.98,2.38,4.55
安科瑞,20.93,11.36,10,电器仪表,18.11,上海,0.76,2.48,2.08
艾华集团,20.91,13.07,8,元器件,32.97,湖南,1.00,5.01,-15.41
东珠生态,20.70,10.11,10,建筑施工,15.79,江苏,0.25,2.3,77.61
云南白药,20.61,14.83,3,中成药,25.38,云南,1.00,4.21,4.35
国药一致,20.55,11.25,6,医药商业,15.56,深圳,0.72,2.02,15.39
天银机电,20.39,11.50,12,元器件,35.31,江苏,0.92,3.88,-18.67
国电南瑞,20.27,12.80,6,软件服务,27.23,江苏,0.48,2.94,50.77
美亚光电,20.27,12.26,12,专用机械,42.07,安徽,0.48,7.04,19.74
荣盛发展,20.24,11.76,5,全国地产,7.86,河北,0.90,1.25,33.38
银信科技,20.11,12.04,9,软件服务,24.92,北京,0.76,2.47,6.44
五粮液,20.04,14.25,6,白酒,16.9,四川,0.98,4.2,43.02
雄帝科技,20.02,10.46,6,元器件,45.96,深圳,0.47,4.77,37.95
桂林三金,20.02,14.44,8,中成药,15.64,广西,0.90,3.14,6.92
迪瑞医疗,20.02,10.85,9,医疗保健,23.22,吉林,0.89,3.63,11.4
歌尔股份,19.89,11.40,10,元器件,32.38,山东,0.84,1.92,-38.11
罗莱生活,19.68,11.38,9,纺织,19.06,江苏,0.94,2.43,35.14
招商银行,19.59,14.60,4,银行,7.97,深圳,0.82,1.53,14.0
一心堂,19.58,11.44,7,医药商业,24.95,云南,0.53,3.82,35.3
广电运通,19.50,10.07,5,电脑设备,19.52,广东,0.81,1.57,-35.37
乐普医疗,19.49,10.83,10,医疗保健,34.6,北京,0.79,8.87,63.48
兴业银行,19.48,13.72,3,银行,4.65,福建,0.92,0.77,6.51
地尔汉宇,19.41,10.92,8,家用电器,27.37,广东,0.63,2.34,-34.31
特一药业,19.41,10.08,9,中成药,20.28,广东,0.60,3.22,39.64
康斯特,19.38,10.72,7,电器仪表,37.37,北京,0.53,4.45,56.63
华兰生物,19.20,11.54,7,生物制药,34.98,河南,0.86,6.55,5.05
国药股份,19.09,13.95,3,医药商业,15.61,北京,0.36,2.34,14.81
联明股份,18.83,11.63,6,汽车配件,21.5,上海,0.37,2.02,-15.14
华远地产,18.81,11.04,5,区域地产,48.04,北京,1.00,0.8,-80.23
建发股份,18.66,12.16,6,商贸代理,9.94,福建,1.00,0.95,26.94
滨江集团,18.58,10.41,9,区域地产,11.61,浙江,0.87,0.92,-36.95
浦发银行,18.49,12.75,4,银行,5.31,上海,0.96,0.74,1.43
航天信息,18.18,15.18,2,电脑设备,69.87,北京,0.99,5.6,-34.99
建设银行,18.08,13.61,3,银行,5.85,北京,0.04,0.96,6.28
奥马电器,18.06,11.07,6,家用电器,23.98,广东,0.60,3.43,41.97
欧浦智网,18.04,10.16,6,仓储物流,10.63,广东,0.99,2.18,71.56
工商银行,17.93,13.44,3,银行,6.15,北京,0.76,0.93,3.98
康弘药业,17.82,15.27,2,中成药,48.98,四川,0.70,8.26,33.13
鱼跃医疗,17.68,10.18,5,医疗保健,20.16,江苏,0.85,3.64,18.04
联发股份,17.68,10.22,11,纺织,11.84,江苏,1.00,1.05,-4.33
片仔癀,17.63,13.16,3,中成药,50.26,福建,1.00,14.02,42.55
万科A,17.54,12.64,2,全国地产,14.55,深圳,0.88,1.97,24.94
奇正藏药,17.41,13.71,5,中成药,28.87,西藏,1.00,5.78,12.07
苏泊尔,17.38,10.52,4,家用电器,27.75,浙江,0.66,7.72,22.59
华侨城A,17.24,12.18,3,旅游景点,12.79,深圳,0.75,0.96,16.16
东易日盛,17.23,10.31,5,装修装饰,217.1,北京,0.29,4.91,242.86
农业银行,17.18,13.52,2,银行,5.49,北京,0.84,0.86,6.63
仁和药业,17.17,10.63,5,中成药,18.14,江西,1.00,2.83,51.27
恩华药业,17.12,12.07,3,化学制药,32.87,江苏,0.87,6.39,25.2
道恩股份,16.86,10.39,5,塑料,39.9,山东,0.30,5.09,19.08
法拉电子,16.81,10.30,3,元器件,24.35,福建,1.00,4.72,13.54
民生银行,16.80,12.62,4,银行,4.37,北京,0.81,0.68,5.23
徐家汇,16.80,11.71,5,百货,14.49,上海,0.95,1.69,7.61
保利地产,16.70,12.48,3,全国地产,11.19,广东,0.99,1.39,15.13
光大银行,16.61,10.35,4,银行,5.42,北京,0.76,0.71,6.71
中国海诚,16.49,11.61,4,建筑施工,15.74,上海,0.99,2.33,11.08
中工国际,16.38,12.02,2,建筑施工,14.49,北京,1.00,2.01,18.54
隆鑫通用,16.36,14.23,2,摩托车,12.83,重庆,0.99,1.69,-16.71
华润三九,16.22,10.24,3,中成药,15.59,深圳,1.00,2.52,11.5
海螺水泥,15.87,10.51,5,水泥,7.6,安徽,0.75,2.05,92.68
宁波银行,15.84,11.85,2,银行,7.46,浙江,0.89,1.43,19.64
厦门空港,15.80,12.05,3,机场,11.75,福建,1.00,1.76,13.53
航民股份,15.65,10.33,3,纺织,10.95,浙江,1.00,1.67,14.19
江苏国泰,15.47,10.91,3,商贸代理,10.24,江苏,0.62,1.22,17.29
复星医药,15.46,10.25,8,化学制药,23.98,上海,0.75,2.85,-7.61
北新建材,15.38,11.28,3,其他建材,11.71,北京,0.84,2.32,90.33
禾丰牧业,15.28,10.13,5,饲料,21.49,辽宁,1.00,2.04,52.04
交通银行,15.26,10.46,3,银行,5.12,上海,0.53,0.69,4.61
苏交科,15.23,10.07,6,建筑施工,21.16,江苏,0.63,2.04,20.66
伟星股份,15.16,10.24,4,服饰,16.27,浙江,0.82,2.67,10.79
伊力特,15.09,11.13,3,白酒,18.55,新疆,1.00,3.35,33.28
欧亚集团,15.07,10.38,3,百货,13.06,吉林,0.97,1.36,-3.64
深赤湾A,15.06,10.14,5,港口,20.62,深圳,0.72,2.8,6.13
浙江龙盛,15.02,10.85,3,染料涂料,8.4,浙江,1.00,1.86,103.33
